Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
"Manyavar se matching stole liya, color bilkul mismatch hai. Wapas karne gaye toh bol rahe hain 'final sale'. Ye fraud hai!",Manyavar Accessories,Retail,Medium,6.5
"Home loan application pending for 3 weeks. Harassment hai yeh, documentation sab de diya hai.",PNB Home Loan,Banking,High,8.0
they removed the option to see reviews and photos.,Zomato Food Delivery,Food & Beverage,Low,4.0
Not Verified |  Flight was delayed both ways by many hours. Poor service for the same price as other airlines like IndiGo. No wifi or other amenities to compensate for terrible service.,SpiceJet,Aviation,High,8.5
Not Verified | Air India experience is very bad from airport check in to on board services. Paid $1400 AUD one way. Took 90 minutes for check in for 3 people at Delhi airport. Paid extra for Aisle seat but no In-flight entertainment. No overhead light working or call crew button working throughout the flight. Flight took off with one overhead luggage open. In 13 hour flight no water tea/coffee service at seat beside main meal. Need to go to crew area to fetch it. Indian meal food option used of western desserts.,AirIndia,Aviation,High,9.0
"I have taken a savings account with SBI and this is salary cums savings, no need to maintain minimum balance. Internet banking is good and customer service is average. No charges for debit card and also getting alert message for cash withdrawn.",SBI,Banking,Low,2.0
Not Verified |  Terrible experience. Flight had been delayed for almost 6 hours. We are travelling through SpiceJet airlines and currently stuck at Jaipur airport for almost 3 hours . According to them it is just because of fog. We also missed our second flight due to this. Never travel through SpiceJet.,SpiceJet,Aviation,High,9.5
"Meesho se jewellery order ki thi, plastic ki nikli! Photos mein metal lag raha tha. Ye toh seedha scam hai.",Meesho Jewellery,Retail,High,8.0
"✅ Trip Verified |  Delhi to Pune. Worst customer service. Flight on 31st December got delayed for 2.5 hours and delay was notified after the departure time by SMS. When I checked with the AirAsia desk about the delay, they didn't even seem to know that the flight was delayed 2.5 hours.",AirAsia India,Aviation,High,8.0
"Airtel DTH picture quality is pixelated, despite paying for HD pack. Ghatiya service, pura chuna lagaya!",Airtel Digital TV,Tech & Telecommunications,Medium,7.0
third class no taste bakwas more expensive,Zomato Food Delivery,Food & Beverage,Low,3.0
✅ Trip Verified |  It’s been 4th time already since my flight has been rescheduled and now it’s almost 7 hours late. Had a meeting to attend but due to their poor third class service I won’t be able to reach there. They don’t even have any alternative flight to provide. What’s the point of booking flight when I’ll reach there after even the train will also reach. Pathetic airline.,SpiceJet,Aviation,High,10.0
Worst customer support,Zomato Food Delivery,Food & Beverage,Medium,5.0
"Ordered a cake from a local bakery, it was stale and tasted horrible. Ruined the birthday celebration. Dhoka!",Local Bakery Cake,Retail,High,7.5
worse app ever I ordered biryani from it worth 360.10 rupees and it was showing that it would deliver with in 30 min and after 4 min I cancelled it cuz I ordered the worng item but I didnot get single money refunded what's type of scam is this,Zomato Food Delivery,Food & Beverage,High,8.0
"Not Verified |  I had a very disappointing experience with Air India, I thought after taking over from the Government the service would have improved however, still long check-in queues and unfriendly staff at check-in desks. I had a flight from Delhi to London and my internal flight entertainment system was broken. Sadly, instead of providing support I was told that ”sir I can confirm it won’t work”. Also, I was only allowed 3 can of beers on a 8 hour flight, I was told due to airline regulations they can’t offer me more. I will not fly again with them.",AirIndia,Aviation,Medium,4.0
illogical rates initially our bill was 628 and they added nonsense charges of about 100 rupees even after taking gold membership. Also we ordered food from the restaurant and after ordering within 5 minutes order was cancelled by zomato and we received a message saying sorry the item you ordered is out of stock and till now we did not receive the payment.,Zomato Food Delivery,Food & Beverage,High,8.5
"Bought a smart TV from Reliance Digital, developed a display line within 3 months. They are refusing to replace it. Horrible quality!",Reliance Digital Smart TV,Tech & Telecommunications,High,7.0
"✅ Trip Verified | I thought I've seen the worst but this is even worse, the worst airline experience I've ever had. No food or on board entertainment whwatsoever during the long fllights to and from my transit in New Delhi from Singapore with Istanbul as final destination. I'm fine with that but the on ground experience has been terrible. At the gate I was told to go to desk for document check and asked to show visa to my final destination which is after Istanbul and has NOTHING to do with my flight with Indigo. And worst of all I lost my checked in luggage once I arrived in Istanbul. That has never happened in all my 25 years of frequent travel. All of those reviews you've seen about lost luggage & bad customer service with Indigo are completely true. Their cheap fare is not worth it. I regretted not checking Indigo's reviews before taking this airline for the first time on this flight. Looking back I would rather just pay more than taking the bait of cheap fare from Indigo. Avoid it.",IndiGo,Aviation,High,9.5
"My new Vivo phone has terrible battery backup. I feel cheated, the specs were misleading!",Vivo Smartphone,Tech & Telecommunications,Medium,6.0
"✅ Trip Verified |  This is not even a comfort issue. When an airline thinks it's OK to put a plane into service for a 14-hour long haul fight where the seats are falling apart, many tray tables were, loose on hinges and can't stay up when opened and barely latched when closes; and emergency floatation devices were detached from under the seat and on the ground. Most of the TV screens not working. I have 3 more legs on my travel plans, this is just very terrible how they're getting away with it!",AirIndia,Aviation,High,9.0
"Fraud app. Took payment of Rs 10,000 for an order and later it cancelled the order due to delay in delivery beyobd stipulated time and said the amount can't be refunded due to company's policy.",Zomato Food Delivery,Food & Beverage,High,10.0
